index	name	xyz
0	Frontal Pole	48, 94, 35
1	Insular Cortex	25, 70, 32
2	Superior Frontal Gyrus	33, 73, 63
3	Middle Frontal Gyrus	25, 72, 55
6	Precentral Gyrus	44, 51, 68
7	Temporal Pole	61, 69, 17
16	Postcentral Gyrus	52, 42, 69
17	Superior Parietal Lobule	28, 39, 63
20	Angular Gyrus	21, 37, 55
23	Intracalcarine Cortex	47, 23, 40
24	Frontal Medial Cortex	45, 84, 27
26	Subcallosal Cortex	46, 74, 27
27	Paracingulate Gyrus	45, 80, 52
30	Precuneous Cortex	45, 31, 55
31	Cuneal Cortex	45, 23, 49
32	Frontal Orbital Cortex	25, 77, 29
35	Lingual Gyrus	41, 22, 33
38	Temporal Occipital Fusiform Cortex	62, 37, 29
39	Occipital Fusiform Gyrus	33, 23, 30
40	Frontal Operculum Cortex	66, 74, 37
41	Central Opercular Cortex	19, 61, 40
42	Parietal Operculum Cortex	17, 50, 47
43	Planum Polare	20, 60, 36
45	Planum Temporale	74, 53, 40
46	Supracalcarine Cortex	44, 21, 42
47	Occipital Pole	37, 15, 34
