index	name	color
1	aHIP-rh	#0077dd
2	pHIP-rh	#0055bb
3	lAMY-rh	#dd4444
4	mAMY-rh	#bb2222
5	THA-DP-rh	#228822
6	THA-VP-rh	#2d9e2d
7	THA-VA-rh	#38b438
8	THA-DA-rh	#43ca43
9	NAc-shell-rh	#aa44dd
10	NAc-core-rh	#8822bb
11	pGP-rh	#ee7700
12	aGP-rh	#ff9922
13	aPUT-rh	#00bbbb
14	pPUT-rh	#009999
15	aCAU-rh	#ddbb00
16	pCAU-rh	#bb9900
17	aHIP-lh	#0077dd
18	pHIP-lh	#0055bb
19	lAMY-lh	#dd4444
20	mAMY-lh	#bb2222
21	THA-DP-lh	#228822
22	THA-VP-lh	#2d9e2d
23	THA-VA-lh	#38b438
24	THA-DA-lh	#43ca43
25	NAc-shell-lh	#aa44dd
26	NAc-core-lh	#8822bb
27	pGP-lh	#ee7700
28	aGP-lh	#ff9922
29	aPUT-lh	#00bbbb
30	pPUT-lh	#009999
31	aCAU-lh	#ddbb00
32	pCAU-lh	#bb9900
